wave_id,app_name,cloudendure_projectname,aws_accountid,server_name,server_os,server_os_version,server_fqdn,server_tier,server_environment,subnet_IDs,securitygroup_IDs,subnet_IDs_test,securitygroup_IDs_test,instanceType,tenancy
9,QuickSightDemo,project1,286605220849,IDXWINVMS,windows,windows server 2012 R2,IDXWINVMS.idexcel.external,web,dev,subnet-0435178fb98691108,sg-02edc268bc328b51f;sg-02edc268bc328b51f,subnet-0435178fb98691108,sg-02edc268bc328b51f,t3.large,Shared
9,QuickSightDemo,project1,286605220849,IDXVMCENT2,linux,CentOS 7,IDXVMCENT2.idexcel.external,web,dev,subnet-0435178fb98691108,sg-02edc268bc328b51f;sg-02edc268bc328b51f,subnet-0435178fb98691108,sg-02edc268bc328b51f,t3.large,Shared
